SRCID,IntDate,Mode,ORDER,A1,A2,A2_oth,A3,A4_order,A4a,A4b,A4c,A4d,A4e,A4f,B1a,B1b,B1c,B1d,B3,B4,B6_order,B6a,B6b,B6c,B6d,B6e,B6f,B6g,B7,V1,V2_1_C1_Name,V2_2_C1_Name,V2_3_C1_Name,V2_4_C1_Name,V2_5_C1_Name,V2_1_C1_Age,V2_2_C1_Age,V2_3_C1_Age,V2_4_C1_Age,V2_5_C1_Age,V2_1_C1_Emp,V2_2_C1_Emp,V2_3_C1_Emp,V2_4_C1_Emp,V2_5_C1_Emp,V2_1_C1_Occ,V2_2_C1_Occ,V2_3_C1_Occ,V2_4_C1_Occ,V2_5_C1_Occ,V2_1_C1_OccCat,V2_2_C1_OccCat,V2_3_C1_OccCat,V2_4_C1_OccCat,V2_5_C1_OccCat,V2_1_C1_Rate,V2_2_C1_Rate,V2_3_C1_Rate,V2_4_C1_Rate,V2_5_C1_Rate,V2_1_C1_Care,V2_2_C1_Care,V2_3_C1_Care,V2_4_C1_Care,V2_5_C1_Care,V2_1_C1_Health,V2_2_C1_Health,V2_3_C1_Health,V2_4_C1_Health,V2_5_C1_Health,V2_1_C2_Name,V2_2_C2_Name,V2_3_C2_Name,V2_4_C2_Name,V2_5_C2_Name,V2_1_C2_Age,V2_2_C2_Age,V2_3_C2_Age,V2_4_C2_Age,V2_5_C2_Age,V2_1_C2_Emp,V2_2_C2_Emp,V2_3_C2_Emp,V2_4_C2_Emp,V2_5_C2_Emp,V2_1_C2_Occ,V2_2_C2_Occ,V2_3_C2_Occ,V2_4_C2_Occ,V2_5_C2_Occ,V2_1_C2_OccCat,V2_2_C2_OccCat,V2_3_C2_OccCat,V2_4_C2_OccCat,V2_5_C2_OccCat,V2_1_C2_Rate,V2_2_C2_Rate,V2_3_C2_Rate,V2_4_C2_Rate,V2_5_C2_Rate,V2_1_C2_Care,V2_2_C2_Care,V2_3_C2_Care,V2_4_C2_Care,V2_5_C2_Care,V2_1_C2_Health,V2_2_C2_Health,V2_3_C2_Health,V2_4_C2_Health,V2_5_C2_Health,V2_1,V2_2,V2_3,V2_4,V2_5,D1a,D1b,D1c,D1d,D1e,D1f,D3,E1a,E1b,E1c,E1d,E1e,E1f,E1g,E1h,E2,E3,E20a,E20b,E5,E18,E19,E6,E7,E8,E10,E11a,E12,E13,E14,E15_1,E15_2,E15_3,E15_4,E15_5,E15_DK,E15_REF,E16,E17,DUM1,DUM2,DUM3,GINTRO2_GINTRO3_Order,C_SETS_Selected01,C_SETS_Selected02,C_SETS_Selected03,C_SETS_Selected04,C_SETS_Selected05,C_SETS_Selected06,C_SETS_Selected07,C_SETS_Selected08,C_SETS_Selected09,C_SETS_Selected10,C_SETS_Selected11,C_SETS_Selected12,C_SETS_Selected13,C_SETS_Selected14,C_SETS_Selected15,C_SETS_Selected16,C_SETS_Selected17,C_SETS_Selected18,C_SETS_Selected19,C_SETS_Selected20,C_SETS_Selected21,C_SETS_Selected22,C_SETS_Selected23,C_SETS_Selected24,C_SETS_Selected25,C_SETS_Selected26,C_SETS_Selected27,C_SETS_Selected28,C_SETS_Selected29,C_SETS_Selected30,C_SETS_Selected31,C_SETS_Selected32,C_SETS_Selected33,C_SETS_Selected34,C_SETS_Selected35,C_SETS_Selected36,Set_Order_txt,Attribute_Lst_Order,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,C_Loop_1_C_SET,C_Loop_2_C_SET,C_Loop_3_C_SET,C_Loop_4_C_SET,C_Loop_5_C_SET,C_Loop_1_C_Order_txt,C_Loop_2_C_Order_txt,C_Loop_3_C_Order_txt,C_Loop_4_C_Order_txt,C_Loop_5_C_Order_txt,C_Loop_1_C1,C_Loop_2_C1,C_Loop_3_C1,C_Loop_4_C1,C_Loop_5_C1,C_Loop_1_C1_Employment,C_Loop_2_C1_Employment,C_Loop_3_C1_Employment,C_Loop_4_C1_Employment,C_Loop_5_C1_Employment,C_Loop_1_C1_Inequality,C_Loop_2_C1_Inequality,C_Loop_3_C1_Inequality,C_Loop_4_C1_Inequality,C_Loop_5_C1_Inequality,C_Loop_1_C1_Borders,C_Loop_2_C1_Borders,C_Loop_3_C1_Borders,C_Loop_4_C1_Borders,C_Loop_5_C1_Borders,C_Loop_1_C1_COVID_infections,C_Loop_2_C1_COVID_infections,C_Loop_3_C1_COVID_infections,C_Loop_4_C1_COVID_infections,C_Loop_5_C1_COVID_infections,C_Loop_1_C1_Mental_health,C_Loop_2_C1_Mental_health,C_Loop_3_C1_Mental_health,C_Loop_4_C1_Mental_health,C_Loop_5_C1_Mental_health,C_Loop_1_C1_Social_isolation,C_Loop_2_C1_Social_isolation,C_Loop_3_C1_Social_isolation,C_Loop_4_C1_Social_isolation,C_Loop_5_C1_Social_isolation,C_Loop_1_C2,C_Loop_2_C2,C_Loop_3_C2,C_Loop_4_C2,C_Loop_5_C2,C_Loop_1_C2_Employment,C_Loop_2_C2_Employment,C_Loop_3_C2_Employment,C_Loop_4_C2_Employment,C_Loop_5_C2_Employment,C_Loop_1_C2_Inequality,C_Loop_2_C2_Inequality,C_Loop_3_C2_Inequality,C_Loop_4_C2_Inequality,C_Loop_5_C2_Inequality,C_Loop_1_C2_Borders,C_Loop_2_C2_Borders,C_Loop_3_C2_Borders,C_Loop_4_C2_Borders,C_Loop_5_C2_Borders,C_Loop_1_C2_COVID_infections,C_Loop_2_C2_COVID_infections,C_Loop_3_C2_COVID_infections,C_Loop_4_C2_COVID_infections,C_Loop_5_C2_COVID_infections,C_Loop_1_C2_Mental_health,C_Loop_2_C2_Mental_health,C_Loop_3_C2_Mental_health,C_Loop_4_C2_Mental_health,C_Loop_5_C2_Mental_health,C_Loop_1_C2_Social_isolation,C_Loop_2_C2_Social_isolation,C_Loop_3_C2_Social_isolation,C_Loop_4_C2_Social_isolation,C_Loop_5_C2_Social_isolation,G1_1,G1_2,G1_3,G1_4,G1_5,F1_order,F1a,F1b,F1c,F1d,F1e,F1f,F1g,F1h,F2_order,F2a,F2b,F2c,F3_order,F3a,F3b,F3c,F4_order,F4a,F4b,F4c,F4d,F4e,F4f,F4g,F5a,F5b,F5c,p_state,p_region,p_geography,p_seifa,p_gender,p_age_group,p_age_group_r,d_cob_group,p_citizen,p_lote,p_atsi,p_house_str,p_education,weight,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap
2265,14-AUG-2020,1,2,2,6, ,8,"a,d,c,b,f,e",2,3,3,1,2,2,2,2,2,2, ,3,"b,d,e,a,c,f,g",-99,-99,-99,-99,-99,5,5,2,4,18,2,13,20,22,18,49,35,3,32,2,3,1,1,1,0,0,26,16,3,3,3,3,2,1,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,24,1,19,8,26,25,56,46,4,5,2,3,1,1,2,0,0,10,48,0,3,3,2,3,3,2,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2, ,1,1,1,32, ,1, , , ,-99,3,50,1,-99,1,0,0,0,0,0,0,2, ,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"set16,set13,set11,set9,set25","_3,_4,_5,_2,_6,_1",Borders,COVID infection rate,Mental health,Household’s economic circumstances,Social isolation,Employment,16,13,11,9,25,"{Choice16,Choice52}","{Choice49,Choice13}","{Choice11,Choice47}","{Choice45,Choice9}","{Choice25,Choice61}",16,49,11,45,25,1,1,0,1,0,2,1,0,2,2,0,1,0,1,1,2,2,1,2,2,0,1,1,1,0,1,0,0,0,0,52,13,47,9,61,1,1,0,1,0,2,1,0,2,2,1,0,1,0,0,0,1,2,1,0,1,0,0,0,1,0,1,1,1,1,1,2,1,2,2,"a,c,h,g,f,e,d,b",3,2,1,2,2,3,3,4,"a,b,c",1,1,1,"a,b,c",1,2,1,"b,d,e,a,c,f,g",2,2,2,2,2,2,1, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.244317428176628,1,3,1,3,3
515,11-AUG-2020,1,1,4,11, ,6,"f,d,a,b,e,c",3,3,3,2,2,1,2,2,2,1, ,3,"d,b,e,f,a,g,c",-99,-99,-99,-99,-99,5,5,2,4,24,21,33,29,14,55,14,34,17,11,2,1,1,2,1,0,6,13,0,15,3,1,2,3,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,10,36,9,7,2,35,52,28,26,1,1,3,1,2,2,8,0,4,0,0,2,3,1,3,3,1,2,2,2,1,2,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,2,2,3,2,1,1,1,2,2,2,2,2,1,-98,1,1,1,2,43, ,2, , , ,-99,2,5,4,-99,1,0,0,0,0,0,0,2, ,2,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"set5,set36,set17,set20,set25","_2,_5,_6,_4,_1,_3",Household’s economic circumstances,Mental health,Social isolation,COVID infection rate,Employment,Borders,5,36,17,20,25,"{Choice5,Choice41}","{Choice72,Choice36}","{Choice17,Choice53}","{Choice56,Choice20}","{Choice25,Choice61}",5,72,17,56,25,0,0,0,1,0,1,2,2,0,2,1,1,0,1,1,2,2,0,2,2,1,0,1,0,0,1,0,0,1,0,41,36,53,20,61,0,0,0,1,0,1,2,2,0,2,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,2,2,1,2,2,"d,f,a,e,g,b,c,h",3,2,3,2,2,1,1,2,"c,b,a",3,2,2,"c,b,a",4,5,3,"d,b,e,f,a,g,c",2,2,2,2,2,2,2, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.925457343636077,1,2,3,3,3
1756,13-AUG-2020,1,1,1,1, ,8,"f,a,b,e,c,d",1,1,1,1,1,1,2,2,2,2, ,4,"b,e,a,f,g,d,c",-99,-99,-99,-99,-99,5,5,1,4,34,14,24,15,29,42,52,45,43,6,3,2,1,1,1,0,0,2,4,12,3,3,1,1,2,1,1,1,2,2,2,1,2,1,2,2,1,1,2,1,3,2,36,25,6,23,39,37,60,11,1,3,1,3,1,7,0,9,0,3,2,3,2,3,1,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2, , , , , ,2, , , , ,-99,2, ,4,-99,1,0,0,0,0,0,0,2, ,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,"set19,set24,set30,set28,set21","_3,_5,_4,_6,_2,_1",Borders,Mental health,COVID infection rate,Social isolation,Household’s economic circumstances,Employment,19,24,30,28,21,"{Choice55,Choice19}","{Choice24,Choice60}","{Choice66,Choice30}","{Choice28,Choice64}","{Choice57,Choice21}",55,24,66,28,57,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,19,60,30,64,21,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,2,1,2,0,0,1,1,1,0,0,1,1,1,1,2,1,2,1,"h,d,g,f,c,e,b,a",2,2,1,2,2,1,1,2,"c,a,b",2,2,2,"c,a,b",1,1,2,"b,e,a,f,g,d,c",2,2,2,2,2,2,2, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.617873461515459,1,4,3,6,6
3059,18-AUG-2020,1,1,4,4, ,7,"f,a,d,b,c,e",3,3,3,2,2,2,2,2,2,1, ,3,"e,c,d,g,a,b,f",-99,-99,-99,-99,-99,2,1,2,4,6,20,33,5,32,51,11,34,26,27,1,1,1,1,2,29,36,12,6,0,3,3,2,1,3,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,39,40,26,15,12,61,16,20,39,36,3,2,1,1,2,0,0,4,2,0,3,3,1,1,3,1,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2, , , , , ,2, , , , ,-99,1, ,4,-99,1,0,0,0,0,0,0,2, ,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,"set24,set33,set30,set23,set15","_4,_1,_6,_2,_3,_5",COVID infection rate,Employment,Social isolation,Household’s economic circumstances,Borders,Mental health,24,33,30,23,15,"{Choice24,Choice60}","{Choice69,Choice33}","{Choice30,Choice66}","{Choice59,Choice23}","{Choice15,Choice51}",24,69,30,59,15,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,2,0,0,1,0,1,0,0,1,0,1,1,1,60,33,66,23,51,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,2,1,0,1,0,1,1,0,1,0,0,0,1,2,2,1,1,"f,a,h,d,e,g,c,b",1,1,1,1,1,1,2,2,"c,a,b",2,2,1,"c,a,b",2,3,2,"e,c,d,g,a,b,f",2,2,2,2,2,2,2, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.611926802311148,1,3,1,1,1
2094,13-AUG-2020,1,1,2,1, ,4,"f,a,b,e,d,c",2,2,2,2,2,2,2,2,2,2, ,3,"d,c,f,a,b,e,g",-99,-99,-99,-99,-99,1,1,1,4,27,38,39,25,29,44,17,9,38,46,3,2,1,1,2,0,0,36,1,0,3,3,3,1,3,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,23,8,35,4,30,16,33,50,65,40,1,1,1,3,1,14,6,3,0,13,2,1,1,3,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,2,1,2,2,2,3,3,3,2,2,1,2,2,2,2,2,2,2, ,1,1,1,37, ,2, , , ,-99,2,10,1,-99,1,0,0,0,0,0,0,2, ,2,2,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"set16,set23,set3,set9,set30","_2,_1,_6,_5,_4,_3",Household’s economic circumstances,Employment,Social isolation,Mental health,COVID infection rate,Borders,16,23,3,9,30,"{Choice52,Choice16}","{Choice23,Choice59}","{Choice39,Choice3}","{Choice9,Choice45}","{Choice66,Choice30}",52,23,39,9,66,1,1,1,1,0,2,1,0,2,0,1,0,1,0,1,0,2,0,1,0,1,1,1,0,0,0,0,0,1,0,16,59,3,45,30,1,1,1,1,0,2,1,0,2,0,0,1,0,1,0,2,0,2,2,2,0,0,0,1,1,1,1,1,0,1,2,2,2,1,1,"d,g,b,e,h,f,a,c",1,1,1,2,1,1,1,3,"c,a,b",2,2,2,"c,a,b",4,4,4,"d,c,f,a,b,e,g",2,2,2,2,2,2,2, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.71083531611738,2,2,1,2,2
573,11-AUG-2020,1,2,2,6, ,7,"b,c,a,f,e,d",2,2,3,2,2,2,1,2,2,1,3,2,"g,e,f,d,c,a,b",-99,-99,-99,-99,-99,3,3,2,4,11,10,23,39,12,47,68,18,32,4,2,3,2,1,1,0,0,0,15,48,3,3,3,2,3,2,2,2,1,2,1,1,2,2,1,1,1,2,2,1,20,24,40,30,26,15,58,26,25,35,1,3,1,1,2,33,0,4,38,0,3,3,1,3,3,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,3,3,1,1,3,2,2,2,2,2,1,1,2,6, , , , ,2, , , , ,-99,2, ,4,-99,0,1,0,0,0,0,0,2, ,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"set25,set14,set33,set10,set26","_1,_6,_5,_3,_2,_4",Employment,Social isolation,Mental health,Borders,Household’s economic circumstances,COVID infection rate,25,14,33,10,26,"{Choice25,Choice61}","{Choice50,Choice14}","{Choice33,Choice69}","{Choice46,Choice10}","{Choice26,Choice62}",25,50,33,46,26,0,0,0,1,1,2,1,1,0,2,1,1,0,1,0,2,0,0,1,0,0,0,1,1,1,0,1,1,0,0,61,14,69,10,62,0,0,0,1,1,2,1,1,0,2,0,0,1,0,1,0,2,1,0,1,1,1,0,0,0,1,0,0,1,1,2,1,2,1,2,"f,e,a,h,d,g,c,b",3,2,2,3,3,2,2,2,"b,a,c",2,1,2,"b,a,c",1,2,1,"g,e,f,d,c,a,b",1,2,1,2,2,2,2,3, ,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.136933975842926,1,4,1,3,3
2784,17-AUG-2020,1,2,4,4, ,5,"a,f,e,b,c,d",3,3,2,2,2,2,1,2,1,2,4,2,"e,f,a,d,c,b,g",-99,-99,-99,-99,-99,4,3,1,3,23,26,33,10,22,38,26,12,1,28,3,2,1,1,2,0,0,6,9,0,3,3,1,2,3,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,20,21,12,11,27,23,53,42,56,30,1,1,3,1,1,43,2,0,5,20,3,1,3,1,3,1,1,1,2,1,2,2,1,1,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,50, ,1, , , ,-99,3,50,4,-99, , , , , , , ,2, ,1,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"set17,set7,set8,set32,set11","_2,_3,_4,_6,_5,_1",Household’s economic circumstances,Borders,COVID infection rate,Social isolation,Mental health,Employment,17,7,8,32,11,"{Choice53,Choice17}","{Choice7,Choice43}","{Choice44,Choice8}","{Choice32,Choice68}","{Choice47,Choice11}",53,7,44,32,47,0,0,0,1,0,2,2,2,1,0,1,0,0,1,1,1,2,1,2,2,0,0,0,1,0,1,0,0,0,1,17,43,8,68,11,0,0,0,1,0,2,2,2,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,2,1,2,2,"a,f,e,g,b,d,c,h",1,1,1,1,1,1,1,2,"a,b,c",2,3,3,"a,b,c",2,3,3,"e,f,a,d,c,b,g",1,2,2,2,2,2,1,2, , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.608869376933296,2,3,1,1,1
1816,13-AUG-2020,1,1,4,3, ,4,"c,d,e,a,f,b",3,2,3,3,3,2,2,2,2,2, ,4,"d,a,c,e,g,b,f",-99,-99,-99,-99,-99,2,2,3,1,12,10,34,26,15,39,35,20,13,44,1,2,1,1,1,24,0,8,3,37,3,3,2,1,3,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,40,35,11,24,17,60,22,19,41,36,3,2,1,1,1,0,0,2,16,5,3,3,1,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,7,1,2,2,8, ,2, , , ,-99,2,0,4,-99,1,0,0,0,0,0,0,1, ,2,2,3,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"set5,set36,set10,set12,set35","_6,_3,_4,_5,_1,_2",Social isolation,Borders,COVID infection rate,Mental health,Employment,Household’s economic circumstances,5,36,10,12,35,"{Choice41,Choice5}","{Choice36,Choice72}","{Choice46,Choice10}","{Choice12,Choice48}","{Choice71,Choice35}",41,36,46,12,71,0,0,1,0,1,1,2,0,0,2,0,0,1,1,0,0,1,1,2,1,0,1,1,0,0,0,1,0,1,1,5,72,10,48,35,0,0,1,0,1,1,2,0,0,2,1,1,0,0,1,2,2,0,0,0,1,0,0,1,1,1,0,1,0,0,1,2,2,1,1,"a,h,f,d,g,c,e,b",3,1,1,1,1,1,1,3,"c,a,b",2,2,3,"c,a,b",1,2,4,"d,a,c,e,g,b,f",2,2,2,2,2,2,2, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.26388131634791,1,3,2,2,2
949,11-AUG-2020,1,1,2,4, ,6,"e,a,b,d,c,f",2,2,2,1,1,1,1,2,1,1,5,2,"a,b,g,d,c,f,e",-99,-99,-99,-99,-99,1,1,2,4,14,30,7,28,16,65,63,62,64,54,3,3,3,3,1,0,0,0,0,1,3,3,3,3,1,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,39,33,34,2,19,6,19,50,11,42,1,1,1,1,3,40,34,5,11,0,3,3,1,2,3,1,1,1,2,1,1,2,2,1,2,2,1,1,2,1,1,1,2,1,2,3,3,3,4,2,3,1,1,2,2,2,2,2,1,2,1,1,1,1,60, ,2, , , ,-99,2,10,4,-99,1,0,0,0,0,0,0,2, ,2,2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"set7,set6,set26,set36,set14","_2,_5,_6,_1,_3,_4",Household’s economic circumstances,Mental health,Social isolation,Employment,Borders,COVID infection rate,7,6,26,36,14,"{Choice7,Choice43}","{Choice42,Choice6}","{Choice26,Choice62}","{Choice72,Choice36}","{Choice14,Choice50}",7,42,26,72,14,0,1,1,0,0,2,1,2,2,1,0,1,0,1,0,2,1,0,2,2,0,1,1,0,1,0,0,0,0,0,43,6,62,36,50,0,1,1,0,0,2,1,2,2,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,2,2,2,2,2,"c,h,b,a,f,d,g,e",1,1,1,2,2,1,1,2,"b,c,a",4,5,3,"b,c,a",3,4,5,"a,b,g,d,c,f,e",2,2,2,2,2,2,2, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.07050840776602,1,2,1,4,4
2940,19-AUG-2020,1,2,5,1, ,9,"d,a,c,b,f,e",2,2,2,2,2,2,2,2,2,2, ,4,"e,c,g,a,f,d,b",-99,-99,-99,-99,-99,3,3,3,4,34,4,11,40,1,24,44,6,43,41,1,1,1,2,3,27,2,7,0,0,3,1,2,3,3,2,1,1,2,2,2,1,2,2,1,2,1,2,2,1,30,39,27,19,12,21,8,59,60,64,1,1,3,3,3,17,25,0,0,0,2,3,3,3,3,2,1,2,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2, , , , , ,2, , , , ,-99,1, ,4,-99,1,0,0,0,0,0,0,2, ,2,2,3,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"set33,set10,set9,set23,set4","_3,_4,_6,_5,_2,_1",Borders,COVID infection rate,Social isolation,Mental health,Household’s economic circumstances,Employment,33,10,9,23,4,"{Choice69,Choice33}","{Choice10,Choice46}","{Choice45,Choice9}","{Choice23,Choice59}","{Choice40,Choice4}",69,10,45,23,40,0,1,1,1,0,1,0,2,1,1,1,0,1,0,1,1,0,2,2,2,0,0,1,1,1,0,1,0,0,1,33,46,9,59,4,0,1,1,1,0,1,0,2,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,2,1,2,2,2,"f,b,c,e,g,h,d,a",2,1,2,1,2,2,2,2,"a,c,b",2,2,2,"a,c,b",2,2,4,"e,c,g,a,f,d,b",2,2,2,2,2,2,2, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.0759679843587386,1,4,1,1,1
3359,19-AUG-2020,1,2,2,11, ,8,"d,f,a,b,c,e",2,3,3,2,2,2,2,2,2,1, ,3,"a,b,e,f,d,c,g",-99,-99,-99,-99,-99,1,4,2,4,32,4,40,29,10,34,39,21,4,13,1,3,2,1,1,39,0,0,43,4,3,3,3,3,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,1,37,16,17,13,38,44,3,66,40,7,3,1,3,1,1,0,6,0,20,35,3,1,3,3,3,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,1,3,3,3,1,2,2,2,2,1,1,2,2,5, , , , ,2, , , , ,-99,3, ,4,-99,1,0,0,0,0,0,0,2, ,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"set17,set21,set16,set30,set2","_4,_6,_2,_5,_3,_1",COVID infection rate,Social isolation,Household’s economic circumstances,Mental health,Borders,Employment,17,21,16,30,2,"{Choice17,Choice53}","{Choice57,Choice21}","{Choice16,Choice52}","{Choice66,Choice30}","{Choice2,Choice38}",17,57,16,66,2,0,1,1,0,0,2,0,2,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,1,0,0,1,0,1,53,21,52,30,38,0,1,1,0,0,2,0,2,0,0,1,1,1,0,0,1,2,0,2,2,0,1,1,1,0,1,1,0,1,0,2,1,2,1,1,"d,f,e,c,b,a,h,g",3,2,2,4,3,2,2,3,"a,b,c",2,2,3,"a,b,c",1,2,2,"a,b,e,f,d,c,g",2,2,2,2,1,2,1, , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.48525271539625,1,4,2,1,1
2400,20-AUG-2020,2,2,2,1, ,7,"e,c,a,f,d,b",2,2,2,2,1,1,1,2,2,1,5,2,"g,a,f,b,e,c,d",-99,-99,-99,-99,-99,3,3,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,15, ,2, , , ,-99,4,50,4,-99,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"c,g,h,e,a,d,f,b",3,2,2,2,2,1,1,2,"b,a,c",2,2,3,"b,a,c",1,2,3,"g,a,f,b,e,c,d",1,2,2,2,1,1,1,2, , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.557371342099373,2,3,3,1,1
1915,23-AUG-2020,2,1,4,11, ,4,"e,b,c,a,f,d",2,3,3,1,2,1,2,2,1,1, ,3,"c,e,f,g,a,b,d",-99,-99,-99,-99,-99,3,5,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,3,2,2,2,3,1,2,2,2,2,2,1,2,1,1,1,1,40, ,2, , , ,-99,2,5,4,-99,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"e,f,c,a,d,b,h,g",4,2,2,2,3,1,2,3,"b,a,c",2,2,2,"b,a,c",1,3,2,"c,e,f,g,a,b,d",1,2,2,2,2,2,1,2, , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.196351387787066,1,4, ,1,1
