SRCID,Mode,A1,A2,undecided_voter,A3,A4a,A4b,A4c,A4d,A4e,A4f,B1a,B1b,B1c,B1d,B4,B6f,B6g,B7,V1,D1a,D1b,D1c,D1d,D1e,D1f,D3,E1a,E1b,E1c,E1d,E1e,E1f,E1g,E1h,E11a,E13,F1a,F1b,F1c,F1d,F1e,F1f,F1g,F1h,F2a,F2b,F2c,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap,A4F2_agg,opinionated
25,2,2,"""-99""",FALSE,9,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,1,1,1,4,2,2,1,1,1,2,1,3,1,-99,2,2,4,2,1,"""1""",8.916666667,FALSE
26,2,2,"""2""",FALSE,9,2,3,2,1,1,1,2,2,2,2,3,3,5,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,3,4,3,2,2,1,2,1,1,3,1,1,1,2,4,3,1,"""1""",0.833333333,TRUE
27,2,2,"""1""",FALSE,8,3,2,2,2,3,3,2,2,2,1,4,5,5,2,4,3,2,1,3,1,2,3,1,2,2,2,2,2,1,2,1,4,1,1,2,3,2,1,1,2,2,2,4,2,3, ,6,"""6""",0.416666667,FALSE
28,2,1,"""3""",FALSE,9,3,2,1,1,3,1,2,2,2,2,4,4,4,1,4,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,4,1,2,1,2,1,1,1,2,2,2,2,2,4,2,5,"""5""",0.583333333,TRUE
29,2,4,"""3""",FALSE,7,3,3,3,1,4,3,2,2,2,1,-98,1,1,1,4,4,2,3,4,1,1,1,2,2,2,2,1,1,1,2,3,4,2,1,1,-98,1,1,1,1,1,2,1,2,3,3,2,"""2""",0.694444444,TRUE
31,2,4,"""3""",FALSE,5,3,3,3,3,3,-98,2,2,2,1,2,5,1,-98,4,3,3,3,4,3,4,2,2,2,2,2,1,1,2,2,3,4,-98,1,1,1,1,1,1,2,2,4,-98,2,4,3,2,"""2""",14.30555556,FALSE
33,2,2,"""3""",FALSE,5,3,2,1,1,2,1,1,2,2,2,4,2,1,1,2,2,1,2,1,1,2,3,2,2,2,2,2,1,2,2,2,4,1,1,1,1,1,1,1,1,1,2,1,2,4,1,2,"""2""",0.75,TRUE
34,2,1,"""3""",FALSE,8,2,2,2,1,2,1,2,2,2,1,3,3,1,1,3,3,3,1,1,1,1,1,2,2,2,2,2,1,1,2,1,4,2,2,2,2,2,2,1,2,1,1,1,2,4,2,1,"""1""",0.777777778,TRUE
36,2,2,"""1""",FALSE,6,2,2,2,1,2,1,2,2,2,1,3,5,5,2,4,2,2,4,2,2,1,1,2,2,2,2,2,1,1,1,1,4,1,1,1,1,2,1,1,1,2,2,3,2,4,1,4,"""4""",0.444444444,FALSE
37,2,2,"""1""",FALSE,8,2,2,1,3,2,1,2,2,2,1,2,3,3,1,4,2,1,2,1,1,1,1,2,2,2,2,2,1,1,2,2,4,2,2,2,2,2,2,1,2,1,1,1,2,4,2,6,"""6""",0.777777778,TRUE
38,2,2,"""1""",FALSE,6,3,3,2,2,2,2,2,2,2,1,3,4,4,2,1,2,2,3,1,2,-98,2,2,2,2,2,2,1,1,2,2,4,1,1,1,1,1,1,1,1,2,2,1,2,4,3,4,"""4""",0.5,TRUE
39,2,4,"""-99""",FALSE,4,1,3,2,2,2,1,2,2,2,1,3,5,5,2,4,2,3,2,3,1,2,2,2,2,2,2,-99,1,1,2,3,4,2,1,2,1,2,1,1,2,2,2,2,2,4,2,5,"""5""",0.527777778,TRUE
40,2,1,"""1""",FALSE,10,1,2,1,2,1,1,2,2,2,2,3,1,1,1,4,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,4,2,1,1,1,1,1,1,1,1,1,1,2,4,3,1,"""1""",0.888888889,TRUE
41,2,2,"""1""",FALSE,10,1,2,3,1,1,1,1,2,2,1,2,-99,1,1,4,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,4,4,1,1,1,1,2,1,3,1,1,3,2,4,3,2,"""2""",0.722222222,TRUE
42,2,2,"""1""",FALSE,9,3,3,3,3,1,1,2,2,2,2,3,2,4,2,3,1,1,1,1,1,1,3,2,2,2,2,2,1,2,2,4,4,2,2,2,2,1,1,1,1,1,1,2,2,4,3,3,"""3""",0.694444444,TRUE
43,2,2,"""6""",FALSE,8,2,2,2,2,2,2,2,2,2,1,3,5,5,2,2,2,1,2,1,1,1,1,2,2,2,2,-99,1,1,2,2,4,2,1,1,1,1,1,1,2,2,2,2,2,4,3,3,"""3""",0.416666667,FALSE
44,2,2,"""1""",FALSE,8,2,2,3,2,2,3,2,2,2,1,2,1,1,1,4,3,4,1,2,3,3,3,2,2,2,2,2,1,1,2,2,4,1,1,1,2,1,1,1,1,3,3,3,2,4,1,2,"""2""",0.166666667,FALSE
45,2,2,"""6""",FALSE,7,2,2,2,2,2,2,2,2,2,2,3,5,5,2,3,3,3,2,3,2,3,2,2,2,2,2,2,1,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,"""3""",0.416666667,FALSE
46,2,1,"""1""",FALSE,9,2,2,2,2,2,1,1,2,1,1,3,1,1,1,4,1,1,1,3,1,1,1,2,2,2,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,2,2,4, ,1,"""1""",0.638888889,TRUE
47,2,1,"""1""",FALSE,8,1,2,1,2,2,2,2,2,2,1,3,5,1,1,4,2,1,3,1,1,1,3,2,2,2,2,2,1,1,1,1,4,2,1,1,1,2,1,1,2,2,3,-98,2,4,2,1,"""1""",8.777777778,FALSE
48,2,2,"""4""",FALSE,9,2,2,2,2,2,2,2,2,2,2,4,5,5,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,4,1,2,1,2,1,1,1,2,2,3,2,2,4, ,5,"""5""",0.333333333,FALSE
49,2,2,"""3""",FALSE,8,2,2,3,2,2,2,2,2,2,1,2,4,5,2,4,3,2,3,3,3,1,2,2,2,2,2,1,1,2,2,2,4,2,1,2,2,1,1,1,2,3,3,1,2,4, ,1,"""1""",0.333333333,FALSE
51,2,1,"""5""",FALSE,9,2,2,2,2,1,1,2,2,2,1,3,5,5,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,4,1,1,2,1,2,1,1,1,2,2,2,1,4, ,4,"""4""",0.527777778,TRUE
53,2,1,"""3""",FALSE,7,2,1,3,1,1,2,2,2,2,2,3,5,5,1,3,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,4,1,1,1,2,2,1,1,2,1,1,2,1,4,2,1,"""1""",0.75,TRUE
54,1,4,"""3""",FALSE,7,3,2,2,2,2,2,2,1,2,2,3,4,1,2,3,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,4,1,1,1,2,1,1,1,2,2,2,2,1,3,1,2,"""2""",0.416666667,FALSE
55,1,4,"""3""",FALSE,4,3,3,3,2,2,1,2,2,2,1,3,5,5,1,3,3,3,3,4,2,3,3,1,1,2,2,2,2,2,2,2,4,2,2,2,2,2,1,1,2,2,-98,4,1,1,3,8,"""8""",8.805555556,FALSE
56,2,1,"""1""",FALSE,7,2,3,2,2,2,2,2,2,2,2,2,5,5,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,4,2,1,1,2,2,2,2,2,2,2,2,1,4, ,4,"""4""",0.416666667,FALSE
57,1,2,"""4""",FALSE,8,3,2,2,1,2,2,2,2,2,2,1,5,5,2,4,3,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,2,2,2,2,1,2,3,1,"""1""",0.472222222,FALSE
59,1,4,"""3""",FALSE,5,3,3,2,3,3,3,2,2,2,1,2,1,1,1,3,3,2,3,1,3,1,1,2,2,2,2,2,1,1,2,3,4,1,1,1,1,1,1,1,1,2,2,2,2,4,2,2,"""2""",0.416666667,FALSE
62,1,2,"""1""",FALSE,8,2,2,2,1,2,1,1,2,2,1,3,5,5,1,4,3,2,2,2,3,2,1,2,2,2,2,2,2,1,2,2,4,2,2,1,2,2,1,1,2,2,2,2,2,3,3,4,"""4""",0.527777778,TRUE
63,1,4,"""1""",FALSE,5,2,2,2,1,1,1,2,2,2,1,3,1,1,2,4,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,"""1""",0.666666667,TRUE
64,1,5,"""3""",FALSE,5,3,3,3,2,4,1,2,2,2,1,2,2,3,1,4,3,4,5,3,2,5,2,1,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,3,3,4,1,2,2,1,"""1""",0.361111111,FALSE
66,1,4,"""4""",FALSE,4,3,3,2,2,3,2,2,2,2,1,2,5,5,2,3,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,4,1,1,1,2,1,1,1,2,2,3,3,2,2,1,3,"""3""",0.25,FALSE
67,1,2,"""1""",FALSE,7,2,2,1,1,1,1,1,2,2,1,3,5,5,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,4,2,2,1,1,2,1,1,1,1,1,1,2,4,3,3,"""3""",0.888888889,TRUE
68,1,2,"""2""",FALSE,8,2,2,2,2,2,2,2,2,2,2,3,5,5,1,4,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,4,1,2,1,2,1,1,1,3,2,2,1,1,1,1,6,"""6""",0.5,TRUE
69,1,2,"""3""",FALSE,7,4,3,4,2,2,2,2,2,2,2,4,5,5,1,4,1,1,4,2,1,1,1,1,1,2,2,2,2,2,1,1,4,1,1,1,1,1,1,1,1,3,3,3,1,1,3,6,"""6""",0.277777778,FALSE
71,1,2,"""-98""",TRUE,8,2,2,1,2,2,2,2,2,2,1,-98,5,5,2,3,4,2,3,5,2,2,2,1,2,2,2,1,2,2,1,3,2,2,2,1,2,1,1,1,2,3,3,3,2,3,2,3,"""3""",0.222222222,FALSE
72,1,4,"""3""",FALSE,6,3,2,2,1,2,2,1,2,2,1,3,1,1,1,4,3,4,2,4,4,2,2,2,2,2,2,1,1,1,2,2,4,1,1,2,1,1,1,2,2,2,2,1,1,3,1,2,"""2""",0.555555556,TRUE
75,1,2,"""4""",FALSE,4,3,2,2,2,2,2,2,2,2,1,2,1,1,1,3,4,2,2,2,1,2,1,1,2,2,2,2,2,1,2,1,4,3,2,1,1,1,2,2,2,2,2,2,2,2,1,2,"""2""",0.416666667,FALSE
76,1,4,"""17""",FALSE,4,3,3,3,2,2,2,2,2,2,2,3,1,2,1,3,1,1,3,1,1,1,1,1,2,2,2,2,2,1,1,2,4,2,1,1,2,1,2,2,3,3,4,3,1,2,1,2,"""2""",0.25,FALSE
77,1,4,"""6""",FALSE,6,3,2,3,2,2,2,2,2,2,2,4,1,1,1,3,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,3,3,3,1,3,2,2,"""2""",0.166666667,FALSE
78,1,2,"""3""",FALSE,8,1,1,1,1,1,1,2,2,1,1,3,5,5,2,4,3,1,3,1,1,1,1,1,2,2,2,2,2,2,2,1,4,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,"""1""",0.833333333,TRUE
80,1,4,"""4""",FALSE,9,3,2,4,2,2,2,2,2,2,2,2,2,5,1,4,1,2,2,3,1,1,1,2,2,2,1,2,2,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,"""1""",0.722222222,TRUE
81,1,2,"""1""",FALSE,8,2,2,2,2,2,2,2,2,2,1,2,2,4,2,4,2,1,2,1,1,1,3,1,1,2,2,2,2,2,2,2,4,2,1,2,2,2,3,1,3,3,2,2,1,1,3,4,"""4""",0.333333333,FALSE
82,1,2,"""1""",FALSE,8,2,3,2,1,2,2,2,2,2,2,3,3,5,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,4,2,1,1,1,2,2,1,1,2,2,2,1,4,1,1,"""1""",0.472222222,FALSE
84,1,2,"""6""",FALSE,6,3,3,2,2,3,2,2,2,2,1,3,3,2,1,2,4,3,4,5,2,4,3,2,1,1,2,2,2,2,-98,2,2,1,1,2,2,1,1,1,3,3,2,3,2,1,1,3,"""3""",0.25,FALSE
86,1,2,"""3""",FALSE,5,2,2,2,1,1,1,1,2,2,1,3,1,1,2,3,3,4,2,4,3,3,4,1,1,2,2,2,2,2,2,-99,4,1,1,1,2,1,1,1,2,2,2,2,1,1,3,1,"""1""",0.583333333,TRUE
87,1,4,"""11""",FALSE,5,3,3,3,2,3,1,2,2,2,1,2,5,5,2,4,3,3,3,3,1,1,1,1,2,2,2,2,1,1,2,2,4,4,4,4,4,4,4,4,4,3,3,3,1,3,2,3,"""3""",0.222222222,FALSE
88,2,1,"""1""",FALSE,5,1,3,3,1,1,2,2,2,2,1,3,1,1,1,4,5,5,4,4,1,5,4,2,2,2,2,2,1,1,1,4,4,4,2,3,2,4,1,1,3,1,1,5,2,3,3,3,"""3""",0.833333333,TRUE
89,1,2,"""97""",FALSE,6,3,2,2,2,2,2,1,2,2,1,3,5,5,2,3,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,1,1,1,1,1,1,1,1,3,3,3,1,2,2,3,"""3""",0.166666667,FALSE
90,1,2,"""1""",FALSE,8,2,2,1,1,2,2,1,2,2,1,2,3,3,1,4,3,1,2,3,1,1,2,1,2,2,2,2,2,1,2,1,4,1,1,1,1,2,1,1,3,2,2,2,2,2,1,1,"""1""",0.527777778,TRUE
91,1,2,"""3""",FALSE,7,3,2,2,3,2,2,2,2,2,2,3,5,5,2,4,3,1,2,2,1,1,2,2,2,2,2,2,1,1,-98,2,4,1,2,2,2,2,1,1,2,2,2,3,2,4,3,4,"""4""",0.333333333,FALSE
92,1,4,"""3""",FALSE,9,3,2,1,2,2,1,2,2,2,2,3,5,5,1,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,4,1,1,1,1,1,2,1,2,2,3,2,1,3,1,3,"""3""",0.444444444,FALSE
94,1,2,"""1""",FALSE,8,1,2,3,2,2,2,2,2,2,2,4,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,2,2,3,3,3,1,3,3,2,"""2""",0.222222222,FALSE
97,1,2,"""97""",FALSE,8,2,2,2,2,2,2,2,2,2,1,2,1,1,1,4,4,1,4,3,2,1,1,2,2,2,2,1,2,1,2,2,4,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,"""2""",0.416666667,FALSE
98,1,2,"""1""",FALSE,8,2,2,3,2,2,2,2,2,2,1,3,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1,4,2,3,3,3,3,2,1,3,2,2,2,1,2,2,2,"""2""",0.416666667,FALSE
99,1,2,"""1""",FALSE,8,1,2,2,2,1,2,2,2,2,1,2,5,5,2,4,3,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,4,2,1,1,1,1,1,1,1,2,2,2,1,4,3,6,"""6""",0.527777778,TRUE
100,1,2,"""1""",FALSE,7,2,3,3,2,2,2,2,2,2,2,3,1,1,1,4,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,4,1,1,1,1,1,1,1,1,2,3,3,2,4,3,2,"""2""",0.25,FALSE
101,1,4,"""4""",FALSE,8,2,3,1,1,2,1,2,2,2,1,2,1,1,2,4,3,1,3,1,1,1,1,1,2,2,2,2,1,1,-98,1,4,1,1,1,1,2,1,1,2,2,2,2,1,4,1,2,"""2""",0.583333333,TRUE
103,1,2,"""3""",FALSE,7,3,2,2,2,2,1,2,2,1,1,3,1,1,1,4,2,1,3,3,3,1,1,2,2,2,2,2,1,1,1,1,4,2,2,2,2,2,2,2,3,2,2,2,1,4,1,2,"""2""",0.472222222,FALSE
105,1,1,"""11""",FALSE,9,1,2,2,2,1,1,2,2,2,1,2,5,5,2,4,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,3,4,3,1,3,2,2,1,1,2,2,2,2,1,3,2,3,"""3""",0.583333333,TRUE
106,1,1,"""3""",FALSE,8,2,2,2,1,2,2,1,2,1,2,4,5,5,2,4,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,4,1,2,2,2,2,1,1,2,2,2,2, ,1,1,5,"""5""",0.472222222,FALSE
107,1,2,"""4""",FALSE,6,2,2,1,2,2,1,2,2,2,2,3,5,4,1,4,4,3,3,3,3,1,1,1,2,2,2,2,2,1,2,2,4,2,1,1,2,1,1,1,2,1,3,3,2,2,1,5,"""5""",0.444444444,FALSE
108,1,1,"""1""",FALSE,8,2,2,2,2,2,2,2,2,2,2,3,1,1,1,4,2,1,3,1,1,1,2,1,2,2,2,1,2,1,1,1,4,1,1,1,2,2,1,1,1,1,2,2,1,3,2,2,"""2""",0.5,TRUE
110,1,2,"""1""",FALSE,9,1,2,2,2,1,2,1,2,2,1,3,5,5,3,4,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,3,2,3,3,3,3,3,3,3,3,3,1,3,1,1,"""1""",0.277777778,FALSE
112,1,2,"""3""",FALSE,7,3,3,2,2,3,2,2,2,2,1,3,1,1,1,4,2,2,3,2,1,1,1,1,2,2,2,2,1,2,2,1,4,1,1,1,1,1,1,1,1,2,2,2,1,4,1,2,"""2""",0.416666667,FALSE
113,1,2,"""4""",FALSE,6,2,2,2,2,2,2,2,2,2,1,3,5,5,2,4,3,3,3,3,3,3,2,2,1,2,2,2,2,1,2,2,4,1,1,2,2,1,2,2,3,2,2,3,2,2,1,5,"""5""",0.333333333,FALSE
115,1,2,"""3""",FALSE,9,2,3,2,3,2,2,2,2,2,2,3,5,5,2,3,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,2,4,3,2,2,2,1,1,"""1""",0.333333333,FALSE
116,1,2,"""3""",FALSE,8,3,2,3,1,2,1,2,2,2,1,3,5,5,2,4,3,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,2,1,2,2,1,1,1,3,3,3,3,2,2,2,1,"""1""",0.277777778,FALSE
117,1,4,"""3""",FALSE,6,3,3,2,2,3,2,2,2,2,1,3,5,5,2,4,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,4,4,1,1,1,1,1,1,1,1,2,2,3,2,3,2,3,"""3""",0.333333333,FALSE
118,1,2,"""4""",FALSE,7,2,2,2,1,2,2,1,2,2,1,2,3,5,2,4,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,4,1,2,2,2,2,1,1,1,2,2,2,2,2,1,5,"""5""",0.472222222,FALSE
120,1,2,"""3""",FALSE,3,3,2,2,3,3,1,2,2,2,1,2,5,5,2,4,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,4,4,1,1,2,3,1,1,1,2,2,3,2,2,2,2,1,"""1""",0.388888889,FALSE
121,1,2,"""1""",FALSE,7,2,4,4,2,2,2,2,2,2,1,2,1,1,1,4,2,1,1,1,1,1,1,-99,-99,-99,-99,-99,1,-99,1,1,4,4,4,3,3,4,3,2,3,2,3,2,1,4,2,1,"""1""",0.444444444,FALSE
125,1,5,"""-98""",TRUE,8,3,2,3,2,2,2,2,2,2,2,4,5,5,3,1,2,1,3,2,1,1,1,2,1,2,2,2,2,1,1,4,2,3,1,1,1,2,1,2,3,2,2,2,1,2,2,3,"""3""",0.416666667,FALSE
126,1,2,"""4""",FALSE,7,2,3,2,2,2,2,2,2,2,2,2,1,1,1,4,1,1,2,3,1,2,1,2,2,2,2,2,1,1,2,2,4,1,1,1,1,1,1,1,-98,3,2,2,2,4,1,2,"""2""",0.333333333,FALSE
127,1,2,"""3""",FALSE,8,2,2,2,2,1,1,1,2,2,1,3,1,1,1,3,2,1,3,2,2,1,1,2,2,2,2,2,1,1,2,2,-98,1,1,1,1,1,1,1,1,2,2,3,1,4,2,2,"""2""",0.444444444,FALSE
129,1,2,"""3""",FALSE,6,3,1,3,2,2,2,1,2,1,1,2,2,3,1,4,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,4,1,1,1,1,2,1,1,3,3,3,3,1,3,2,1,"""1""",0.222222222,FALSE
130,1,5,"""3""",FALSE,3,4,2,1,1,3,2,2,2,2,1,3,1,1,1,4,4,4,3,3,4,3,3,2,2,1,2,2,2,1,2,4,2,1,1,1,2,1,1,1,4,2,3,2,2,3,1,2,"""2""",0.5,TRUE
131,1,2,"""1""",FALSE,6,2,3,1,2,2,2,1,2,2,1,3,5,5,3,2,4,2,2,3,3,3,3,2,1,2,2,2,2,1,2,2,4,4,2,1,3,2,1,1,3,2,4,4,2,2,3,5,"""5""",0.472222222,FALSE
132,1,4,"""3""",FALSE,7,2,3,3,1,2,1,2,2,2,1,2,1,3,1,4,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,4,1,1,1,1,1,1,1,2,3,3,3,2,4,2,1,"""1""",0.277777778,FALSE
133,1,4,"""4""",FALSE,7,3,3,3,2,2,1,2,2,2,1,2,5,5,1,3,3,2,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,2,2,1,4,"""4""",0.222222222,FALSE
134,1,2,"""4""",FALSE,5,3,2,3,1,2,2,2,2,2,1,3,5,5,2,4,3,3,3,3,2,1,1,2,2,1,2,2,2,1,2,3,4,2,2,2,2,2,2,1,1,3,3,3,1, ,2,5,"""5""",0.222222222,FALSE
135,1,2,"""1""",FALSE,7,3,3,3,2,3,3,2,2,2,2,3,4,3,3,3,3,3,3,3,3,3,2,1,2,2,2,2,2,1,2,2,4,2,2,2,2,2,2,2,2,3,4,3,2,1,1,3,"""3""",0.25,FALSE
136,1,1,"""1""",FALSE,7,3,3,2,2,1,1,2,2,2,1,3,3,5,1,4,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,4,1,2,2,3,1,2,1,2,2,2,2,2,2,1,1,"""1""",0.527777778,TRUE
138,1,2,"""3""",FALSE,8,1,2,1,1,1,1,2,2,2,2,3,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,2,3,3,3,2,2,1,2,"""2""",0.444444444,FALSE
